index,vehicle_count
0,159
1,180
2,98
3,84
4,64
5,79
6,88
7,121
8,202
9,298
10,423
11,576
12,681
13,775
14,782
15,688
16,673
17,582
18,563
19,367
20,280
21,189
22,174
23,105
24,77
25,56
26,37
27,33
28,59
29,131
30,272
31,489
32,545
33,554
34,648
35,649
36,708
37,732
38,795
39,992
40,1106
41,1022
42,601
43,440
44,353
45,294
46,198
47,160
48,96
49,58
50,54
51,42
52,52
53,126
54,282
55,463
56,524
57,555
58,531
59,587
60,617
61,650
62,782
63,1012
64,1108
65,984
66,542
67,437
68,364
69,323
70,228
71,175
72,109
73,57
74,63
75,65
76,80
77,98
78,261
79,468
80,545
81,533
82,519
83,655
84,638
85,743
86,910
87,1112
88,1153
89,1079
90,748
91,459
92,395
93,440
94,303
95,215
96,142
97,85
98,76
99,57
100,52
101,95
102,150
103,265
104,388
105,501
106,598
107,629
108,669
109,680
110,669
111,691
112,714
113,634
114,560
115,431
116,362
117,371
118,281
119,180
120,145
121,98
122,66
123,53
124,53
125,56
126,86
127,165
128,225
129,313
130,454
131,515
132,567
133,622
134,729
135,724
136,682
137,608
138,501
139,380
140,323
141,214
142,146
143,112
144,66
145,43
146,46
147,30
148,81
149,125
150,295
151,487
152,503
153,427
154,427
155,462
156,571
157,549
158,684
159,939
160,1080
161,931
162,572
163,429
164,339
165,226
166,202
167,131
168,75
169,46
170,47
171,42
172,57
173,123
174,291
175,432
176,513
177,428
178,418
179,494
180,518
181,590
182,718
183,963
184,1092
185,962
186,577
187,435
188,340
189,284
190,212
191,144
192,103
193,66
194,23
195,27
196,58
197,120
198,287
199,450
200,531
201,432
202,425
203,477
204,493
205,567
206,663
207,970
208,1068
209,1004
210,620
211,429
212,360
213,304
214,211
215,165
216,86
217,54
218,49
219,43
220,56
221,108
222,294
223,447
224,516
225,435
226,506
227,520
228,587
229,616
230,724
231,1014
232,1128
233,963
234,652
235,436
236,394
237,274
238,226
239,177
240,92
241,44
242,39
243,43
244,59
245,104
246,284
247,441
248,483
249,527
250,493
251,558
252,674
253,708
254,845
255,1105
256,1231
257,992
258,673
259,485
260,398
261,365
262,300
263,222
264,145
265,94
266,86
267,55
268,71
269,84
270,171
271,268
272,418
273,545
274,585
275,586
276,624
277,604
278,748
279,693
280,716
281,611
282,454
283,399
284,322
285,375
286,234
287,220
288,146
289,104
290,56
291,51
292,63
293,69
294,121
295,191
296,270
297,332
298,469
299,491
300,605
301,652
302,674
303,709
304,707
305,631
306,518
307,423
308,298
309,229
310,180
311,119
312,80
313,37
314,32
315,37
316,54
317,120
318,285
319,487
320,503
321,388
322,425
323,472
324,530
325,549
326,729
327,993
328,1062
329,955
330,601
331,380
332,322
333,307
334,180
335,157
336,81
337,46
338,44
339,34
340,59
341,107
342,287
343,486
344,522
345,448
346,404
347,463
348,509
349,579
350,715
351,965
352,1131
353,971
354,581
355,408
356,352
357,305
358,207
359,139
360,81
361,31
362,53
363,39
364,58
365,93
366,261
367,392
368,404
369,405
370,340
371,409
372,456
373,485
374,600
375,876
376,997
377,869
378,511
379,356
380,310
381,274
382,189
383,150
384,96
385,57
386,45
387,41
388,76
389,108
390,300
391,517
392,508
393,415
394,466
395,486
396,537
397,606
398,725
399,941
400,1030
401,1029
402,592
403,462
404,387
405,303
406,222
407,159
408,100
409,52
410,58
411,54
412,61
413,124
414,274
415,489
416,448
