index,vehicle_count
0,137
1,137
2,96
3,84
4,59
5,84
6,117
7,142
8,146
9,219
10,336
11,477
12,622
13,696
14,815
15,833
16,775
17,629
18,536
19,406
20,299
21,264
22,196
23,151
24,74
25,69
26,36
27,61
28,87
29,226
30,643
31,979
32,880
33,654
34,570
35,566
36,665
37,736
38,776
39,789
40,696
41,693
42,527
43,358
44,308
45,235
46,183
47,181
48,96
49,57
50,45
51,48
52,89
53,218
54,625
55,885
56,962
57,650
58,578
59,501
60,614
61,644
62,708
63,764
64,713
65,678
66,482
67,363
68,283
69,294
70,205
71,174
72,99
73,69
74,55
75,64
76,75
77,228
78,636
79,931
80,915
81,681
82,577
83,597
84,651
85,683
86,729
87,789
88,824
89,791
90,696
91,529
92,406
93,377
94,278
95,222
96,147
97,88
98,64
99,70
100,90
101,118
102,265
103,338
104,411
105,491
106,593
107,705
108,794
109,782
110,819
111,863
112,804
113,739
114,582
115,440
116,371
117,317
118,253
119,203
120,122
121,100
122,72
123,57
124,75
125,75
126,141
127,192
128,237
129,363
130,551
131,695
132,742
133,781
134,816
135,762
136,808
137,638
138,570
139,418
140,384
141,292
142,203
143,124
144,91
145,49
146,47
147,60
148,95
149,221
150,693
151,971
152,965
153,618
154,538
155,531
156,538
157,567
158,645
159,698
160,651
161,647
162,464
163,330
164,241
165,237
166,188
167,126
168,89
169,57
170,45
171,55
172,82
173,222
174,666
175,636
176,462
177,689
178,523
179,495
180,545
181,604
182,578
183,706
184,701
185,682
186,493
187,327
188,291
189,244
190,204
191,117
192,77
193,53
194,34
195,59
196,94
197,211
198,679
199,913
200,948
201,626
202,566
203,550
204,552
205,543
206,652
207,675
208,655
209,659
210,497
211,331
212,264
213,234
214,208
215,147
216,66
217,55
218,42
219,59
220,93
221,222
222,669
223,919
224,972
225,641
226,512
227,564
228,547
229,571
230,612
231,715
232,686
233,662
234,525
235,350
236,291
237,260
238,221
239,167
240,85
241,59
242,42
243,64
244,79
245,220
246,625
247,930
248,919
249,612
250,563
251,566
252,558
253,655
254,661
255,707
256,769
257,723
258,662
259,455
260,340
261,327
262,291
263,221
264,136
265,79
266,58
267,46
268,66
269,111
270,212
271,342
272,403
273,464
274,578
275,674
276,712
277,732
278,643
279,706
280,702
281,627
282,502
283,440
284,363
285,316
286,220
287,195
288,117
289,74
290,40
291,42
292,66
293,81
294,125
295,197
296,228
297,331
298,444
299,620
300,703
301,793
302,727
303,719
304,690
305,520
306,541
307,454
308,388
309,280
310,223
311,156
312,74
313,56
314,47
315,57
316,88
317,222
318,675
319,960
320,958
321,594
322,538
323,549
324,542
325,549
326,610
327,653
328,677
329,625
330,492
331,277
332,239
333,243
334,169
335,126
336,75
337,47
338,33
339,53
340,82
341,235
342,684
343,968
344,939
345,635
346,496
347,508
348,553
349,497
350,614
351,652
352,656
353,689
354,478
355,332
356,277
357,236
358,177
359,121
360,69
361,56
362,46
363,57
364,66
365,198
366,476
367,724
368,799
369,650
370,447
371,472
372,409
373,427
374,499
375,597
376,623
377,569
378,434
379,307
380,251
381,223
382,177
383,143
384,81
385,49
386,48
387,52
388,91
389,218
390,688
391,973
392,946
393,646
394,563
395,505
396,512
397,558
398,627
399,705
400,652
401,708
402,516
403,370
404,286
405,295
406,211
407,157
408,89
409,59
410,51
411,73
412,80
413,198
414,657
415,902
416,926
417,639
418,590
419,669
420,648
421,648
422,740
423,843
424,865
425,829
426,836
427,587
428,446
429,428
430,349
431,266
432,131
433,92
434,45
435,52
436,75
437,100
438,239
439,308
440,442
441,534
442,693
443,842
444,898
445,711
446,749
447,754
448,694
449,674
450,628
451,403
452,337
453,319
454,256
455,214
456,125
457,83
458,67
459,131
460,59
461,66
462,148
463,160
464,182
465,326
466,491
467,644
468,716
469,749
470,742
471,759
472,671
473,604
474,530
475,419
476,384
477,250
478,237
479,130
480,98
481,66
482,40
483,45
484,87
485,182
486,568
487,613
488,610
489,530
490,607
491,682
492,701
493,694
494,580
495,926
496,727
497,667
498,498
499,357
500,335
501,266
502,177
503,138
504,69
505,51
506,45
507,45
508,94
509,227
510,625
511,930
512,964
513,667
514,539
515,525
516,578
517,544
518,662
519,690
520,638
521,591
522,453
523,306
524,260
525,244
526,205
527,133
528,61
